,Territorio,ETA1,Value
164,Puglia,Y7,34277
165,Campania,Y7,54373
166,Provincia Autonoma Bolzano / Bozen,Y7,5625
167,Lombardia,Y7,92013
168,Piemonte,Y7,36414
169,Trentino Alto Adige / Südtirol,Y7,10859
170,Provincia Autonoma Trento,Y7,5234
171,Emilia-Romagna,Y7,39593
172,Valle d'Aosta / Vallée d'Aoste,Y7,1124
173,Veneto,Y7,43637
174,Friuli-Venezia Giulia,Y7,9844
175,Liguria,Y7,11590
176,Trentino Alto Adige / Südtirol,Y8,10901
177,Basilicata,Y8,4374
178,Sardegna,Y8,12843
179,Piemonte,Y8,36698
180,Provincia Autonoma Trento,Y8,5377
181,Lombardia,Y8,93991
182,Emilia-Romagna,Y8,40376
183,Provincia Autonoma Bolzano / Bozen,Y8,5524
184,Friuli-Venezia Giulia,Y8,10021
185,Valle d'Aosta / Vallée d'Aoste,Y8,1182
186,Lazio,Y8,53295
187,Calabria,Y8,16714
188,Umbria,Y8,7552
189,Abruzzo,Y8,11115
190,Molise,Y8,2316
191,Liguria,Y8,11409
192,Veneto,Y8,44439
193,Puglia,Y8,35383
194,Sicilia,Y8,44642
195,Marche,Y8,13452
196,Toscana,Y8,31668
197,Campania,Y8,55531
198,Puglia,Y9,36556
199,Calabria,Y9,17254
200,Toscana,Y9,32704
201,Campania,Y9,57239
202,Marche,Y9,13632
203,Lazio,Y9,54609
204,Friuli-Venezia Giulia,Y9,10410
205,Sardegna,Y9,13244
206,Piemonte,Y9,37577
207,Umbria,Y9,7742
208,Valle d'Aosta / Vallée d'Aoste,Y9,1155
209,Lombardia,Y9,96782
210,Basilicata,Y9,4527
211,Provincia Autonoma Bolzano / Bozen,Y9,5533
212,Sicilia,Y9,46202
213,Emilia-Romagna,Y9,41720
214,Trentino Alto Adige / Südtirol,Y9,11092
215,Liguria,Y9,11930
216,Molise,Y9,2444
217,Provincia Autonoma Trento,Y9,5559
218,Veneto,Y9,45848
219,Abruzzo,Y9,11479
220,Sardegna,Y10,13277
221,Piemonte,Y10,38651
222,Trentino Alto Adige / Südtirol,Y10,10974
223,Valle d'Aosta / Vallée d'Aoste,Y10,1224
224,Provincia Autonoma Bolzano / Bozen,Y10,5484
225,Sicilia,Y10,47207
226,Provincia Autonoma Trento,Y10,5490
227,Basilicata,Y10,4722
228,Emilia-Romagna,Y10,42417
229,Molise,Y10,2271
230,Umbria,Y10,7706
231,Abruzzo,Y10,11286
232,Calabria,Y10,17491
233,Puglia,Y10,36955
234,Liguria,Y10,12472
235,Lombardia,Y10,98664
236,Marche,Y10,14000
237,Toscana,Y10,32840
238,Campania,Y10,58784
239,Lazio,Y10,54780
240,Veneto,Y10,46493
241,Friuli-Venezia Giulia,Y10,10550
242,Piemonte,Y11,38936
243,Valle d'Aosta / Vallée d'Aoste,Y11,1204
244,Liguria,Y11,12738
245,Trentino Alto Adige / Südtirol,Y11,11280
246,Veneto,Y11,47439
247,Provincia Autonoma Trento,Y11,5601
248,Emilia-Romagna,Y11,42163
249,Provincia Autonoma Bolzano / Bozen,Y11,5679
250,Marche,Y11,14074
251,Sicilia,Y11,48062
252,Umbria,Y11,8132
253,Toscana,Y11,33856
254,Molise,Y11,2471
255,Lombardia,Y11,98737
256,Friuli-Venezia Giulia,Y11,10534
257,Lazio,Y11,55204
258,Abruzzo,Y11,11691
259,Basilicata,Y11,4852
260,Calabria,Y11,17693
261,Campania,Y11,59471
262,Puglia,Y11,37473
263,Sardegna,Y11,13327
264,Lombardia,Y12,97568
265,Liguria,Y12,12464
266,Emilia-Romagna,Y12,41874
267,Umbria,Y12,8097
268,Friuli-Venezia Giulia,Y12,10734
269,Lazio,Y12,55430
270,Molise,Y12,2481
271,Veneto,Y12,46938
272,Calabria,Y12,17760
273,Abruzzo,Y12,11487
274,Sicilia,Y12,47764
275,Puglia,Y12,37915
276,Marche,Y12,13867
277,Basilicata,Y12,4792
278,Toscana,Y12,33547
279,Campania,Y12,60734
280,Trentino Alto Adige / Südtirol,Y12,11157
281,Sardegna,Y12,13297
282,Piemonte,Y12,38912
283,Valle d'Aosta / Vallée d'Aoste,Y12,1207
284,Provincia Autonoma Bolzano / Bozen,Y12,5731
285,Provincia Autonoma Trento,Y12,5426
286,Marche,Y13,13695
287,Calabria,Y13,18278
288,Liguria,Y13,12639
289,Sardegna,Y13,13394
290,Toscana,Y13,33276
291,Lombardia,Y13,97967
292,Provincia Autonoma Bolzano / Bozen,Y13,5701
293,Valle d'Aosta / Vallée d'Aoste,Y13,1235
294,Basilicata,Y13,4953
295,Sicilia,Y13,48748
296,Emilia-Romagna,Y13,41506
297,Veneto,Y13,47008
298,Abruzzo,Y13,11364
299,Piemonte,Y13,38350
300,Puglia,Y13,38162
301,Trentino Alto Adige / Südtirol,Y13,11237
302,Molise,Y13,2479
303,Provincia Autonoma Trento,Y13,5536
304,Umbria,Y13,7982
305,Lazio,Y13,54995
306,Friuli-Venezia Giulia,Y13,10690
307,Campania,Y13,61105
308,Sicilia,Y14,49699
309,Sardegna,Y14,13476
310,Liguria,Y14,12571
311,Piemonte,Y14,38154
312,Valle d'Aosta / Vallée d'Aoste,Y14,1142
313,Lombardia,Y14,95729
314,Trentino Alto Adige / Südtirol,Y14,11396
315,Provincia Autonoma Bolzano / Bozen,Y14,5818
316,Provincia Autonoma Trento,Y14,5578
317,Veneto,Y14,46717
318,Friuli-Venezia Giulia,Y14,10511
319,Emilia-Romagna,Y14,40843
320,Toscana,Y14,33165
321,Umbria,Y14,7948
322,Marche,Y14,13666
323,Lazio,Y14,53249
324,Abruzzo,Y14,11488
325,Molise,Y14,2548
326,Campania,Y14,61704
327,Puglia,Y14,38866
328,Basilicata,Y14,4920
329,Calabria,Y14,18079
330,Piemonte,Y15,38113
331,Valle d'Aosta / Vallée d'Aoste,Y15,1175
332,Liguria,Y15,12648
